GeneID	SRR1023811	SRR1023810	SRR1023805	SRR1023808	SRR1023812	SRR1023806	SRR1023809	SRR1023807
WP_003407537.1	361	291	327	242	374	355	327	226
WP_003898892.1	5215	3406	3687	1898	4463	4641	3088	2408
WP_003407553.1	7614	4627	5681	3167	7054	6590	4964	3697
WP_003407559.1	2715	1723	1826	1312	2626	2242	1791	1771
WP_003902086.1	5879	4151	4038	3612	5423	4786	3695	4829
WP_003407562.1	2288	1410	1436	1497	1967	1768	1576	1915
WP_003407571.1	9312	7370	5626	6270	7712	7215	6188	7793
WP_003900347.1	3046	2314	1841	1729	2674	2285	2022	2105
WP_003407578.1	1298	903	878	664	1137	996	850	870
WP_003898896.1	1470	1592	2200	613	1458	2080	1557	686
WP_003407581.1	691	719	1232	387	783	965	885	402
WP_003407583.1	4693	5360	6573	2751	4447	7126	5508	3606
WP_003407585.1	2833	2584	3190	3061	2612	3627	2456	4186
WP_003407587.1	3490	2917	3701	2950	3514	3924	2924	3620
WP_003917487.1	1866	1332	1567	737	1657	1784	1193	947
WP_003407593.1	1196	927	934	436	1026	1165	731	554
WP_003407596.1	1548	1386	1642	810	1425	1889	1270	1080
WP_003407599.1	5729	9618	13675	6505	5533	14876	10136	7933
WP_072461291.1	3163	2243	2152	1258	2877	2490	1801	1358
WP_003898900.1	1770	1156	913	484	1324	1250	737	707
WP_003900351.1	568	409	565	242	591	556	416	297
WP_003407612.1	3189	3063	2939	1131	2950	3582	2763	1520
WP_003898901.1	2786	2419	3040	1113	2614	2986	2229	1374
WP_003407616.1	932	763	1122	469	813	1262	834	475
WP_003917489.1	543	595	762	203	512	871	614	207
WP_003902091.1	711	592	873	278	725	863	695	289
WP_003407623.1	1738	1676	2070	626	1676	2229	1664	729
WP_003900353.1	2817	2207	2850	895	2488	2825	2185	1012
WP_003898905.1	7437	7475	8303	2900	6719	8720	6513	3459
WP_003407628.1	424	322	505	216	424	430	345	250
WP_003407632.1	815	728	1132	487	709	1093	813	503
WP_003407639.1	5138	3802	4606	2053	5037	4966	3865	2442
WP_003407642.1	3911	2680	3169	1477	3627	3344	2827	1941
WP_003407647.1	2734	1761	2165	1020	2572	2377	1764	1182
WP_003407650.1	1432	964	970	386	1371	1208	906	570
WP_003900356.1	1540	881	937	492	1439	1037	774	584
WP_003900357.1	2404	1575	1517	709	2327	1739	1326	1038
WP_003407654.1	650	468	715	265	615	670	479	284
WP_003407655.1	323	318	317	170	290	302	250	147
WP_003407656.1	332	276	330	125	303	313	218	150
WP_003407657.1	1411	1060	1587	629	1535	1443	1257	848
WP_003917492.1	105	81	96	61	126	92	71	74
WP_003901187.1	8051	8402	9181	3733	7001	11234	7571	4647
WP_003898915.1	4508	4634	6583	2472	4364	6818	4363	3030
WP_003407670.1	1827	1879	1862	691	1621	2212	1514	868
WP_003407671.1	1350	1352	1325	507	1165	1716	1264	645
WP_003407672.1	1107	766	1137	740	1144	1112	907	796
WP_003407676.1	1172	935	1159	593	1127	1232	924	765
WP_003898919.1	427	204	246	257	481	201	236	295
WP_003898920.1	2617	1621	1947	1901	2755	1874	1636	2154
WP_003407690.1	999	620	663	428	944	757	662	596
WP_003407692.1	2255	961	1267	1000	1968	1328	1077	1317
WP_003407695.1	1450	714	743	834	1252	816	684	1031
WP_003407700.1	4067	2663	2834	1904	4188	3002	2678	2312
WP_003407710.1	59016	7446	3938	21847	44597	6231	4295	31346
WP_003407714.1	24530	4817	5387	12160	21843	5647	4551	14854
WP_003407718.1	840	658	704	583	790	790	601	712
WP_003407720.1	1705	2106	1971	871	1605	2493	1793	1097
WP_003407722.1	2686	1765	2510	2300	2372	2993	1987	3139
WP_003407723.1	3008	2487	2987	2147	2750	3485	2407	2790
WP_003407725.1	1234	1055	1480	588	1224	1502	1085	802
WP_003407730.1	191	120	181	134	221	164	153	145
WP_003407734.1	10440	9989	6945	3505	8071	9391	7502	4315
WP_003407737.1	7946	8037	5728	2881	6623	8047	6390	3695
WP_003901194.1	2742	2456	2036	895	2325	2618	2004	1210
WP_003407748.1	2060	1773	1721	734	1838	2279	1778	900
WP_003407751.1	19339	15577	18108	8555	18803	19669	15056	10368
WP_003903497.1	1513	1279	1654	881	1521	1688	1113	940
WP_003917497.1	1580	2552	2242	602	1361	2967	2196	852
WP_003917498.1	1165	2147	1565	512	960	2390	1593	618
WP_003407762.1	504	481	714	265	497	670	576	305
WP_009935859.1	158	344	583	182	124	510	329	235
WP_003898925.1	722	1750	2139	881	632	2430	1474	1057
WP_003407767.1	238	628	750	314	231	849	482	397
WP_003407768.1	126	322	371	202	97	398	261	228
WP_003407771.1	177	380	591	256	180	546	408	295
WP_003407773.1	1040	740	920	511	934	920	753	729
WP_003901197.1	1174	646	1068	681	1163	862	772	805
WP_003407780.1	2897	2504	2430	1103	2724	2902	2471	1331
WP_003407781.1	8859	7152	7269	3927	7794	9038	6840	4783
WP_003407785.1	788	547	635	328	740	721	652	403
WP_003407786.1	703	497	644	343	724	686	537	400
WP_003407788.1	1560	1108	1356	809	1699	1339	1253	908
WP_003407790.1	1654	1360	1566	939	1754	1640	1326	1152
WP_003898930.1	3134	2348	2768	1553	3076	2693	2334	1749
WP_003407794.1	7705	8669	9184	4024	7494	9837	7092	4848
WP_003407798.1	9539	10782	8679	4442	8027	11377	6707	6077
WP_003407802.1	1007	1056	1346	391	1081	1126	1009	382
WP_003407803.1	1973	1657	2024	764	2053	2060	1774	1089
WP_003407805.1	4768	5029	4429	1992	4168	6327	4087	3083
WP_003407806.1	1668	1807	1825	747	1617	2444	1692	1249
WP_003407809.1	418	388	522	182	425	549	416	270
WP_016720969.1	129	96	140	53	98	167	120	52
WP_003900370.1	48	19	41	19	20	24	26	11
WP_003898934.1	7272	5647	5385	1970	6474	6784	5386	2559
WP_003407914.1	2499	1948	2196	797	2314	2442	1923	1003
WP_003407924.1	2366	1819	1957	692	2135	2457	1737	946
WP_003407926.1	5237	1470	1942	1133	4618	2166	1362	1470
